,region,date,ano,trimestre,fgt0,fgt1,fgt2,a25,a50,a75,ingreso_promedio,ingreso_mediana,salario_minimo,kaitz_indice,time,kaitz_pre,treated,event_time,event_id,unit_id
2843,Manabí,2011-01-01,2011,1,0.337522732373435,0.164471069408182,0.0961115657076411,0.0614425203304334,0.123935443423511,0.187112197316554,126.453472090082,114.550952107029,264.0,2.30465129397908,41,2.82067054661085,1,4,35,Manabí_e35
2844,Pichincha,2009-01-01,2009,1,0.173601824736516,0.0619684888686597,0.0352013991277064,0.0569246863349435,0.112755534736125,0.170877329601065,177.965869067857,149.71027634895,218.0,1.45614586597835,33,1.65517192539184,0,-4,35,Pichincha_e35
2845,Pichincha,2009-04-01,2009,2,0.141177432876692,0.0498406055086473,0.0247130520635966,0.0591667167572161,0.11440059237982,0.167350111215057,198.362223076245,161.214323669786,218.0,1.35223716502094,34,1.65517192539184,0,-3,35,Pichincha_e35
2846,Pichincha,2009-07-01,2009,3,0.233883316527437,0.0917846179023522,0.0552428309456914,0.0950380995217135,0.185724426569138,0.285730835323455,218.883062342467,153.83998755781,218.0,1.41705679687526,35,1.65517192539184,0,-2,35,Pichincha_e35
2847,Pichincha,2009-10-01,2009,4,0.273290668706034,0.10507972955654,0.0572439085679432,0.0868633291833396,0.165743111970158,0.238613188996623,180.522791015714,131.708372197282,218.0,1.65517192539184,36,1.65517192539184,0,-1,35,Pichincha_e35
2848,Pichincha,2010-01-01,2010,1,0.199614080547329,0.0723099883644512,0.0361214196842222,0.0817674770575558,0.156571313877638,0.227422878009528,209.224251603306,151.230317923848,240.0,1.58698337274442,37,1.65517192539184,0,0,35,Pichincha_e35
2849,Pichincha,2010-04-01,2010,2,0.192279522381349,0.0734156483837209,0.0397846836918625,0.0817995160895615,0.157477205629648,0.230620931710802,213.169727903784,154.372928838052,240.0,1.55467672866256,38,1.65517192539184,0,1,35,Pichincha_e35
2850,Pichincha,2010-07-01,2010,3,0.171055868827743,0.0605132807214101,0.0316095247279306,0.0857450049938551,0.163100793255535,0.236835597361056,220.526384636218,154.374555641663,240.0,1.55466034543343,39,1.65517192539184,0,2,35,Pichincha_e35
2851,Pichincha,2010-10-01,2010,4,0.202053174737992,0.0822889465253183,0.0463480201653181,0.0772197440540892,0.151967787494412,0.23031925232992,205.624833236447,150.829251392732,240.0,1.59120328307593,40,1.65517192539184,0,3,35,Pichincha_e35
2852,Pichincha,2011-01-01,2011,1,0.121304078665432,0.0528544606667507,0.0304303382528358,0.0809467887675394,0.156456714432124,0.232659376647914,236.209102158912,164.451689977301,264.0,1.60533467327967,41,1.65517192539184,0,4,35,Pichincha_e35
2853,Sierra,2009-01-01,2009,1,0.336357279258749,0.13374454603845,0.0735095755708367,0.0649639503145523,0.129860064121008,0.199369337369511,135.487436871558,108.040883033035,218.0,2.01775470433117,33,2.59023114329863,0,-4,35,Sierra_e35
2854,Sierra,2009-04-01,2009,2,0.30465516788867,0.105687604957061,0.0516504607887006,0.0599190138987371,0.117103501579683,0.17184102310672,141.661949168946,111.611577289805,218.0,1.95320239435335,34,2.59023114329863,0,-3,35,Sierra_e35
2855,Sierra,2009-07-01,2009,3,0.321462327082819,0.133991269010609,0.0801291153088263,0.079887943399598,0.159680381622625,0.253298389601068,154.122984471193,120.503295008124,218.0,1.80907916240218,35,2.59023114329863,0,-2,35,Sierra_e35
2856,Sierra,2009-10-01,2009,4,0.470628257773303,0.219186334082739,0.13548200688678,0.081349455263084,0.161287676014186,0.242646852212275,112.667956681673,84.1623731395568,218.0,2.59023114329863,36,2.59023114329863,0,-1,35,Sierra_e35
2857,Sierra,2010-01-01,2010,1,0.300469565340804,0.104003572669525,0.0526635047805833,0.0597547877563324,0.119285061720817,0.182309665192222,146.72681059016,116.030398541625,240.0,2.06842347364602,37,2.59023114329863,0,0,35,Sierra_e35
2858,Sierra,2010-04-01,2010,2,0.45891172838291,0.224530988533045,0.144683618969546,0.0890566085447728,0.178273777353429,0.275436010037861,116.597889062309,87.5395752436903,240.0,2.74161714095476,38,2.59023114329863,0,1,35,Sierra_e35
2859,Sierra,2010-07-01,2010,3,0.302795397196058,0.134131705774905,0.0856589837760862,0.0861729577970679,0.173955508866901,0.282609969096518,160.989955100765,117.119314335997,240.0,2.04919232460223,39,2.59023114329863,0,2,35,Sierra_e35
2860,Sierra,2010-10-01,2010,4,0.422126563239997,0.198131413949531,0.12398520489344,0.0790281350437785,0.157561802444402,0.240908702295137,118.494312521422,94.2423318967367,240.0,2.54662628958474,40,2.59023114329863,0,3,35,Sierra_e35
2861,Sierra,2011-01-01,2011,1,0.29700418747237,0.12074539371743,0.071327487797017,0.0620248527742191,0.128402319495458,0.212243443613167,145.272683095696,121.801267828943,264.0,2.16746512335784,41,2.59023114329863,0,4,35,Sierra_e35
2862,Amazonía,2009-04-01,2009,2,0.201474180181788,0.0589711734806268,0.0280952083747582,0.0510939331786336,0.101000535921511,0.149917122473268,167.826407406668,138.197015622117,218.0,1.57745808777879,34,2.00740482390106,0,-4,36,Amazonía_e36
2863,Amazonía,2009-07-01,2009,3,0.304873690787726,0.161251618234583,0.104663493830612,0.0827744185548762,0.168370117275003,0.268242227292992,159.316029230981,127.711655282867,218.0,1.7069702801765,35,2.00740482390106,0,-3,36,Amazonía_e36
2864,Amazonía,2009-10-01,2009,4,0.545435930089774,0.259370902159524,0.164373973253479,0.0923180665507939,0.183892511422537,0.286388951978827,103.949111168615,74.1139041514133,218.0,2.94141838155807,36,2.00740482390106,0,-2,36,Amazonía_e36
2865,Amazonía,2010-01-01,2010,1,0.276301582303238,0.136974996260051,0.0925119990070523,0.0716374455082192,0.14954725957751,0.25270826709332,145.708283417422,119.557349440657,240.0,2.00740482390106,37,2.00740482390106,0,-1,36,Amazonía_e36
2866,Amazonía,2010-04-01,2010,2,0.567287159422265,0.277170889842442,0.18123357111255,0.10887571284246,0.213991753947158,0.321557055638436,107.306247198604,71.6816522055937,240.0,3.3481371120136,38,2.00740482390106,0,0,36,Amazonía_e36
2867,Amazonía,2010-07-01,2010,3,0.309359920639319,0.12791387537715,0.0782970541184999,0.0810011794924753,0.162824252563479,0.250799090860912,177.160089559435,134.673150909824,240.0,1.78209240950115,39,2.00740482390106,0,1,36,Amazonía_e36
2868,Amazonía,2010-10-01,2010,4,0.50105844806459,0.204456855045309,0.114175743931416,0.0751444441224313,0.14720362365185,0.216394485688178,116.183505432931,80.1242534190578,240.0,2.99534772255257,40,2.00740482390106,0,2,36,Amazonía_e36
2869,Amazonía,2011-01-01,2011,1,0.267486846612559,0.0980222534273698,0.0567771195053166,0.0616295456723416,0.123759219938149,0.18661799867944,160.697807511503,146.857954605673,264.0,1.79765543316237,41,2.00740482390106,0,3,36,Amazonía_e36
2870,Amazonía,2011-04-01,2011,2,0.445131165216311,0.214255635344823,0.129913008824044,0.0898017902436398,0.181089435710552,0.285757068783672,125.835836322136,87.0150353190004,264.0,3.03395843065703,42,2.00740482390106,0,4,36,Amazonía_e36
2871,Azuay,2009-04-01,2009,2,0.189921561764385,0.0622789062353483,0.0307247320911481,0.0660489673761439,0.127860841796001,0.185968297811477,180.785219546504,133.392941264574,218.0,1.63426938437181,34,1.61831173812313,0,-4,36,Azuay_e36
2872,Azuay,2009-07-01,2009,3,0.236154450331588,0.0913732993107673,0.0589813824349458,0.0806619114204186,0.161958515924661,0.255138073219435,202.169419253608,143.023692185548,218.0,1.52422299179064,35,1.61831173812313,0,-3,36,Azuay_e36
2873,Azuay,2009-10-01,2009,4,0.338241627041538,0.136780757728921,0.078151861046758,0.0630562748031855,0.127143211837976,0.197143384851808,137.626415120626,116.080016074463,218.0,1.87801490189454,36,1.61831173812313,0,-2,36,Azuay_e36
2874,Azuay,2010-01-01,2010,1,0.175018763851374,0.0559385583926529,0.0246658270958225,0.0510972828362165,0.099981660023774,0.146943350054164,172.428921285585,148.302699873106,240.0,1.61831173812313,37,1.61831173812313,0,-1,36,Azuay_e36
2875,Azuay,2010-04-01,2010,2,0.301636696804853,0.132832745988253,0.0771557646943216,0.0655774822111277,0.132176023897094,0.201690348876971,147.267566706959,122.698350601442,240.0,1.95601651386159,38,1.61831173812313,0,0,36,Azuay_e36
2876,Azuay,2010-07-01,2010,3,0.167421644622677,0.0624742514050262,0.0325474014298777,0.0669979193994358,0.133439543771532,0.20617992894079,209.069587027545,152.39084377465,240.0,1.57489776980895,39,1.61831173812313,0,1,36,Azuay_e36
2877,Azuay,2010-10-01,2010,4,0.28270008678863,0.114489727436685,0.0619270520876704,0.0578565897203012,0.116682402386478,0.177567242469007,153.896605478784,137.342192594902,240.0,1.74746008830581,40,1.61831173812313,0,2,36,Azuay_e36
2878,Azuay,2011-01-01,2011,1,0.136773534858757,0.0593686391734213,0.0320945204562784,0.0469981252608724,0.0945793384453829,0.142909397290974,181.636696932652,147.328047832925,264.0,1.79191948772297,41,1.61831173812313,0,3,36,Azuay_e36
2879,Azuay,2011-04-01,2011,2,0.301837431153181,0.151380280121904,0.0987989471749061,0.0722719809678112,0.147797958193577,0.22836243203478,145.371335215149,117.958120598182,264.0,2.23808245385073,42,1.61831173812313,0,4,36,Azuay_e36
2880,"Costa, Santo Domingo",2009-04-01,2009,2,0.504116264507614,0.211636486057692,0.129442684112711,0.0758159483400908,0.150759090749954,0.22608733463019,104.198150615638,75.3933071592855,218.0,2.89150334709984,34,2.48677844166644,1,-4,36,"Costa, Santo Domingo_e36"
2881,"Costa, Santo Domingo",2009-07-01,2009,3,0.453978286800291,0.174478512643507,0.092675873895198,0.0754697282789479,0.146972205095489,0.221033592543416,124.383896359681,97.5438817375395,218.0,2.23489158024868,35,2.48677844166644,1,-3,36,"Costa, Santo Domingo_e36"
2882,"Costa, Santo Domingo",2009-10-01,2009,4,0.53681017673682,0.258247029935562,0.160925170744311,0.0790904600432125,0.157603039370986,0.242375675111992,94.1429058367828,73.6377853387279,218.0,2.96043666980501,36,2.48677844166644,1,-2,36,"Costa, Santo Domingo_e36"
2883,"Costa, Santo Domingo",2010-01-01,2010,1,0.388008155332385,0.138133229749716,0.0821529246092635,0.0719061877496999,0.142872060725627,0.212737368609409,136.338989234553,96.5104071913908,240.0,2.48677844166644,37,2.48677844166644,1,-1,36,"Costa, Santo Domingo_e36"
2884,"Costa, Santo Domingo",2010-04-01,2010,2,0.516821930892466,0.231059570438376,0.13761291699066,0.0806424976290161,0.15956395059729,0.242624806488,104.037991177457,76.1075139748309,240.0,3.15343370799589,38,2.48677844166644,1,0,36,"Costa, Santo Domingo_e36"
2885,"Costa, Santo Domingo",2010-07-01,2010,3,0.431406734655371,0.188624163514035,0.106215604441107,0.0885012377184923,0.172605752676107,0.25197102528509,144.555311403174,110.422098134445,240.0,2.17347799086181,39,2.48677844166644,1,1,36,"Costa, Santo Domingo_e36"
2886,"Costa, Santo Domingo",2010-10-01,2010,4,0.518555846742241,0.211673499106843,0.11663438421838,0.0725364603358438,0.141704917526593,0.208411994771978,106.696033601609,77.378192801612,240.0,3.10164907334202,40,2.48677844166644,1,2,36,"Costa, Santo Domingo_e36"
2887,"Costa, Santo Domingo",2011-01-01,2011,1,0.459553118928063,0.188289408512088,0.0918941833877662,0.0760941870607411,0.14965362682639,0.219303940098049,130.439660438451,92.0591919688966,264.0,2.86772015215163,41,2.48677844166644,1,3,36,"Costa, Santo Domingo_e36"
2888,"Costa, Santo Domingo",2011-04-01,2011,2,0.429306896968661,0.180048826912189,0.0996530207985016,0.0717567894126423,0.141703893032535,0.212255025834402,117.954095012729,87.4198517440626,264.0,3.0199090336244,42,2.48677844166644,1,4,36,"Costa, Santo Domingo_e36"
2889,El Oro,2009-04-01,2009,2,0.312067742981453,0.103186520839572,0.0551491833727391,0.0557642689824149,0.110027886654875,0.165253895046409,134.687280868278,105.863441462318,218.0,2.05925668945495,34,2.46920260965012,1,-4,36,El Oro_e36
2890,El Oro,2009-07-01,2009,3,0.329010718350684,0.114958627422157,0.0583111909577952,0.0792173238651802,0.152822272458157,0.222400135911177,163.599228767731,113.987034597531,218.0,1.91249821323733,35,2.46920260965012,1,-3,36,El Oro_e36
2891,El Oro,2009-10-01,2009,4,0.354157269477988,0.123796814444209,0.0612026413886401,0.0589019950099505,0.114844232000646,0.172487603139498,127.385110591892,107.714590967499,218.0,2.02386694357664,36,2.46920260965012,1,-2,36,El Oro_e36
2892,El Oro,2010-01-01,2010,1,0.321444877801254,0.111715421675609,0.0633580876957925,0.0475081699040455,0.0950497345504939,0.144808796988257,115.242195934153,97.1973701396693,240.0,2.46920260965012,37,2.46920260965012,1,-1,36,El Oro_e36
2893,El Oro,2010-04-01,2010,2,0.323850789707814,0.109295258572019,0.0548778545484845,0.0539532731436668,0.106531701795357,0.158637069287279,131.918384116809,113.057010949544,240.0,2.12282279519233,38,2.46920260965012,1,0,36,El Oro_e36
2894,El Oro,2010-07-01,2010,3,0.316244353135638,0.112970536282378,0.056643128150986,0.079657080756991,0.154412368850089,0.228019415290452,167.607775776768,123.711479409464,240.0,1.93999781706304,39,2.46920260965012,1,1,36,El Oro_e36
2895,El Oro,2010-10-01,2010,4,0.237199098178281,0.0813034792843805,0.0398767684771343,0.0480470408266508,0.0950972777637039,0.143468586464054,144.690677284087,124.601944394439,240.0,1.92613366642384,40,2.46920260965012,1,2,36,El Oro_e36
2896,El Oro,2011-01-01,2011,1,0.322176612959805,0.102178593174118,0.0505126440928911,0.0545517612986794,0.106288515247019,0.155564643911174,130.36636970412,107.732862080743,264.0,2.4505057686311,41,2.46920260965012,1,3,36,El Oro_e36
2897,El Oro,2011-04-01,2011,2,0.30973984230582,0.120875704868538,0.0605948538642582,0.05869328546995,0.11584508767293,0.172627204398088,138.348258013842,111.907525273523,264.0,2.35909068094155,42,2.46920260965012,1,4,36,El Oro_e36
2898,Guayas,2009-04-01,2009,2,0.319820560332407,0.106574983440688,0.0551954354277777,0.0611563442868526,0.120078492124137,0.1802586136608,135.251200667801,102.446823778104,218.0,2.12793322389555,34,2.48811616606276,1,-4,36,Guayas_e36
2899,Guayas,2009-07-01,2009,3,0.371536345193418,0.153531990909555,0.0883431215000333,0.0871488665805771,0.166644105908345,0.2448821757463,138.168543764917,102.488921877369,218.0,2.12705915924107,35,2.48811616606276,1,-3,36,Guayas_e36
2900,Guayas,2009-10-01,2009,4,0.338645945480143,0.1280735640762,0.0698739043321534,0.0626523458895179,0.122740826601507,0.183099374948263,130.277961299221,106.664183867205,218.0,2.04379757193292,36,2.48811616606276,1,-2,36,Guayas_e36
2901,Guayas,2010-01-01,2010,1,0.369971693084448,0.124387980574276,0.0622318016692807,0.0542448835304245,0.105047948824524,0.153500261953535,116.860627538401,96.4585188077375,240.0,2.48811616606276,37,2.48811616606276,1,-1,36,Guayas_e36
2902,Guayas,2010-04-01,2010,2,0.330151324572833,0.115454165863523,0.0614997463094721,0.0713692433111081,0.136908746435345,0.198969331593021,137.820078423586,103.156379331328,240.0,2.32656478984342,38,2.48811616606276,1,0,36,Guayas_e36
