RGNAL	AREA	RN	CIUDAD	ZONA	SECTOR	VIVIENDA	HOGAR	FORMUL	PERSONA	NUMPERS	RESUMEN	RELJEFE	EDAD	SEXO	NIVINST	ANOINST	ASISTEA	SABELE	IESS	DONNAC	LUGNAC	SIEMVIC	DONVIAN	LUGVIAN	CUANVIC	TRABAJO	ACTAYUDA	HORTRASA	RATMEH	HORMAS	RATMAH	AUNOTRA	PORNOT	BUSTRASA	BUSTRAMA	SITIOS	AMIGOS	DIRECTO	PRENSA	AGEPU	AGEPRI	TRESNE	TIEMBUS	MOTNOBUS	DESEATRA	CONDINA	TRABANT	MOTNOTRA	TIEMNOT	RAMA	GRUPO	CATETRAB	PERTRABN	NPERTRA	NUMTRAB	ESTABIL	HORTRAHP	HORTRAHS	HORTRAHO	RAMAS	GRUPOS	CATES	INGPAT	PAT	RETPAT	INGASA	RETASA	INGASA1	ASA	INGASA2	INGSEC	SEC	RETSEC	INV	INGINV	JUB	INGJUB	OTR	INGOTR	BON	INGBON	NOV	DIC	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	VIVEFE	INGRL	SECINS	SUBEQU	FEXP	CONDACT	PEAMSIU
4	1	1	010150	001	004	05	1	1	3	5	1	3	18	1	4	2	2	1	2	1	 	1	 	 	18	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	4	1	 	1	5	24	2899	9322	2	1	3	5	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	0	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	051	0	0	0	107,040833	5	1
4	1	1	010150	001	004	05	1	1	4	5	1	3	14	2	4	2	1	1	2	1	 	1	 	 	14	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	6	 	5	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	0	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	051	0	0	0	107,040833	7	 
4	1	1	010150	001	004	05	1	1	5	5	1	3	8	1	3	2	2	 	 	1	 	1	 	 	8	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	6	 	5	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	0	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	051	 	0	0	107,040833	8	 
4	1	1	010150	001	004	06	1	1	1	5	1	1	44	1	3	7	2	1	1	2	010850	1	 	 	44	1	 	60	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	7511	8324	1	1	12	4	2	48	12	 	6022	8322	5	150	2	0	120	0	120	2	0	0	 	0	2	0	2	0	2	 	2	0	1	1	1	1	1	1	1	1	1	1	1	1	059	270	2	0	107,040833	1	1
4	1	1	010150	001	004	06	1	1	2	5	1	2	35	2	3	7	2	1	2	1	 	1	 	 	35	1	 	50	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5520	5230	2	1	3	3	4	50	 	 	0	0	 	 	 	0	100	0	100	2	0	0	 	0	2	0	2	0	2	 	2	0	1	1	1	1	1	1	1	1	1	1	1	1	059	100	0	0	107,040833	4	2
4	1	1	010150	001	004	06	1	1	3	5	1	3	18	1	4	2	1	1	2	1	 	1	 	 	18	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	6	 	5	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	0	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	059	0	0	0	107,040833	7	 
4	1	1	010150	001	004	06	1	1	4	5	1	3	17	1	4	1	2	1	2	1	 	1	 	 	17	1	 	48	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5020	7321	2	1	4	3	4	48	 	 	0	0	 	 	 	0	40	0	40	2	0	0	 	0	2	0	2	0	2	 	2	0	3	3	3	3	3	3	2	1	1	1	1	1	059	40	0	586	107,040833	4	2
4	1	1	010150	001	004	06	1	1	5	5	1	3	6	2	3	1	1	 	 	1	 	1	 	 	6	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	8	 	5	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	0	2	0	2	0	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	059	 	0	0	107,040833	8	 
4	1	1	010150	001	004	07	1	1	1	7	1	1	88	2	3	5	2	1	2	1	 	1	 	 	88	2	12	 	 	 	 	2	 	2	2	 	 	 	 	 	 	 	 	8	 	4	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	 	 	 	0	0	0	0	 	0	0	 	0	2	0	1	30	2	 	2	0	3	3	3	3	3	3	3	3	3	3	3	3	075	0	0	0	107,040833	7	 
4	1	1	010150	001	004	07	1	1	2	7	1	6	36	2	4	3	2	1	2	1	 	1	 	 	36	1	 	70	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	9500	9131	12	1	2	3	2	70	 	 	0	0	 	 	 	0	100	0	100	2	0	0	 	0	2	0	2	0	2	 	2	0	1	1	1	1	1	1	1	1	1	1	1	1	075	100	0	0	107,040833	1	4
